goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkStringSlice/Emit-8                    	 2702558	       438.4 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2739793	       433.8 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2638934	       430.0 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2437771	       579.4 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2104921	       484.0 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2279439	       540.9 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2723044	       451.1 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2782814	       439.7 ns/op	     168 B/op	       4 allocs/op
PASS
ok  	go.opentelemetry.io/otel/attribute	341.303s
