goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	20446472	        62.69 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	17832466	        57.76 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	20294677	        60.87 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	20504380	        58.70 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	18937522	        57.69 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	21877980	        58.67 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/Emit-8         	 3513931	       309.5 ns/op	      56 B/op	       4 allocs/op
BenchmarkInt64Slice/Len2/Emit-8         	 3968770	       319.2 ns/op	      56 B/op	       4 allocs/op
BenchmarkInt64Slice/Len2/Emit-8         	 3882069	       303.8 ns/op	      56 B/op	       4 allocs/op
BenchmarkInt64Slice/Len2/Emit-8         	 3869848	       312.3 ns/op	      56 B/op	       4 allocs/op
BenchmarkInt64Slice/Len2/Emit-8         	 3916500	       308.1 ns/op	      56 B/op	       4 allocs/op
BenchmarkInt64Slice/Len2/Emit-8         	 3751138	       337.5 ns/op	      56 B/op	       4 allocs/op
BenchmarkInt64Slice/Len2/Emit-8         	 3659764	       318.5 ns/op	      56 B/op	       4 allocs/op
BenchmarkInt64Slice/Len2/Emit-8         	 3821671	       322.8 ns/op	      56 B/op	       4 allocs/op
BenchmarkInt64Slice/Len2/Emit-8         	 3923802	       322.4 ns/op	      56 B/op	       4 allocs/op
BenchmarkInt64Slice/Len2/Emit-8         	 3760192	       316.6 ns/op	      56 B/op	       4 allocs/op
BenchmarkInt64Slice/Len2/Emit-8         	 3561643	       341.2 ns/op	      56 B/op	       4 allocs/op
BenchmarkInt64Slice/Len2/Emit-8         	 3896901	       318.3 ns/op	      56 B/op	       4 allocs/op
BenchmarkInt64Slice/Len8/Value-8        	 7152316	       166.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/Value-8        	 6752266	       218.3 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/Value-8        	 7702856	       176.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/Value-8        	 7221969	       174.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/Value-8        	 7337644	       168.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/Value-8        	 7019965	       171.1 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/Value-8        	 7238734	       170.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/Value-8        	 5969348	       197.1 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/Value-8        	 7129045	       176.3 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/Value-8        	 6886316	       170.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/Value-8        	 6337965	       162.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/Value-8        	 7377976	       187.6 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/KeyValue-8     	 7232809	       178.3 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/KeyValue-8     	 7098850	       179.9 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/KeyValue-8     	 6796627	       198.0 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/KeyValue-8     	 6497593	       176.6 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/KeyValue-8     	 6890930	       178.9 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/KeyValue-8     	 5454301	       229.9 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/KeyValue-8     	 5282439	       239.7 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/KeyValue-8     	 4954034	       212.9 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/KeyValue-8     	 5741001	       228.3 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/KeyValue-8     	 6378525	       176.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/KeyValue-8     	 6761847	       175.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/KeyValue-8     	 7100625	       188.1 ns/op	     128 B/op	       2 allocs/op
BenchmarkInt64Slice/Len8/AsInt64Slice-8 	17217200	        81.67 ns/op	      64 B/op	       1 allocs/op
BenchmarkInt64Slice/Len8/AsInt64Slice-8 	17230198	        67.82 ns/op	      64 B/op	       1 allocs/op
BenchmarkInt64Slice/Len8/AsInt64Slice-8 	17550822	        72.60 ns/op	      64 B/op	       1 allocs/op
BenchmarkInt64Slice/Len8/AsInt64Slice-8 	17047101	        74.94 ns/op	      64 B/op	       1 allocs/op
BenchmarkInt64Slice/Len8/AsInt64Slice-8 	16377642	        71.98 ns/op	      64 B/op	       1 allocs/op
